Province;Municipality;MunicipalityAltitude;Name;Altitude;Category;BedsNumber
VERBANO-CUSIO-OSSOLA;BACENO;655;SESTO CALENDE;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CEPPO MORELLI;753;LONGA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;FALMENTA;715;ALPE FORNA';1649;Bivacco Fisso;13
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;ANDOLLA;2061;Rifugio Alpino;75
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;IL DOSSO;1740;Rifugio Alpino;40
VERBANO-CUSIO-OSSOLA;BEURA-CARDEZZA;257;ALPE POZZOLO;1640;Bivacco Fisso;15
VERBANO-CUSIO-OSSOLA;CALASCA-CASTIGLIONE;665;ALL'ALPE LAGO;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;BLITZ;1250;Rifugio Alpino;4
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;ALPE GATTASCOSA;2000;Rifugio Alpino;20
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;IL LAGHETTO;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;BACENO;655;COMBI E LANZA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;BOGNANCO;980;SAN BERNARDO;1630;Rifugio Alpino;16
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;ANTIGINE;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;ANTRONA SCHIERANCO;902;CAMPOSECCO;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CREVOLADOSSOLA;375;ANDROMIA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CURSOLO-ORASSO;886;MONTE VECCHIO;1094;Rifugio non gestito;23
VERBANO-CUSIO-OSSOLA;BACENO;655;CAPANNA ENRICO CASTIGLIONI;1640;Rifugio Alpino;35
VERBANO-CUSIO-OSSOLA;BEURA-CARDEZZA;257;AMICI DELLA MONTAGNA;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;BAITIN DUL SARACA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;CRAVEGGIA;889;LA STRIA RUSA DAL BLITZ;1200;Rifugio Alpino;8
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;3A;2960;Rifugio Alpino;90
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;CITTA' DI LUINO;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;EUGENIO SELLA;;Rifugio Alpino;0
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;WENGWALD HUTTE;1914;Rifugio Alpino;12
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;ZAMBONI ZAPPA;2070;Rifugio Alpino;36
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;MYRIAM;2050;Rifugio Alpino;49
VERBANO-CUSIO-OSSOLA;TRONTANO;520;PARPINASCA;1210;Rifugio Alpino;22
VERCELLI;RIVA VALDOBBIA;1112;VALLE VOGNA;1381;Rifugio Alpino;16
VERBANO-CUSIO-OSSOLA;VARZO;568;PIETRO CROSTA;1751;Rifugio Alpino;24
VERBANO-CUSIO-OSSOLA;VARZO;568;RIFUGIO 2000;1936;Rifugio Alpino;43
VERCELLI;ALAGNA VALSESIA;1191;GRANDE HALTE;1945;Rifugio Alpino;40
BIELLA;ANDORNO MICCA;544;ALFREDO RIVETTI;2180;Rifugio Alpino;44
BIELLA;BIELLA;420;CAPANNA RENATA;2391;Rifugio Alpino;22
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;CITTA' DI BUSTO;2480;Rifugio Alpino;44
VERBANO-CUSIO-OSSOLA;ORNAVASSO;215;BRUSA PERONA RENATO;1535;Rifugio Alpino;20
VERCELLI;RASSA;917;ALPE TOSO;1649;Rifugio Escursionistico;12
VERBANO-CUSIO-OSSOLA;INTRAGNA;729;FUMAGALLI;1527;Rifugio Alpino;24
VERCELLI;ALAGNA VALSESIA;1191;ZAR SENNI;1664;Rifugio Alpino;16
VERCELLI;BOCCIOLETO;667;LA BAITA ALPE SECCIO;1409;Rifugio Alpino;17
VERCELLI;MOLLIA;880;CASA LOBIETTI;1000;Rifugio Escursionistico;2
CUNEO;SALICETO;389;SORGENTI DEL BELBO;389;Rifugio Escursionistico;4
ALESSANDRIA;BOSIO;143;CASCINA FOI;;Rifugio Escursionistico;10
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;CAI SARONNO;1830;Rifugio Alpino;24
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;MARINELLI;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;VARZO;568;CITTA' DI ARONA;1753;Rifugio Alpino;68
VERCELLI;RIVA VALDOBBIA;1112;RIFUGIO OSPIZIO SOTTILE;2480;Rifugio Alpino;30
VERCELLI;RIMA SAN GIUSEPPE;1411;VALLE';2200;Rifugio non gestito;24
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;CITTA'DI GALLARATE;3960;Bivacco Fisso;0
VERCELLI;CAMPERTOGNO;815;ALPE CAMPO;;Rifugio Escursionistico;12
VERCELLI;ALAGNA VALSESIA;1191;CAPANNA FELICE GIORDANO;4167;Bivacco Fisso;12
VERCELLI;BOCCIOLETO;667;ALPE SELLA ALTA;2047;Rifugio Escursionistico;12
VERCELLI;RIMELLA;1176;RIFUGIO DEI WALSER;1339;Rifugio Alpino;16
BIELLA;BIOGLIO;513;PIANA DEL PONTE;1062;Rifugio Alpino;24
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;CLAUDIO E BRUNO;2710;Rifugio Alpino;60
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;BELLONI;2509;Bivacco Fisso;9
VERBANO-CUSIO-OSSOLA;SAN BERNARDINO VERBANO;304;RIFUGIO FANTOLI;1000;Rifugio Alpino;18
VERCELLI;ALAGNA VALSESIA;1191;CAPANNA LUIGINA RESEGOTTI;3624;Bivacco Fisso;16
VERCELLI;ALAGNA VALSESIA;1191;CAPANNA F.LLI GUGLIERMINA;3212;Bivacco Fisso;12
VERCELLI;ALAGNA VALSESIA;1191;S. FERIOLI;2264;Rifugio Alpino;24
VERCELLI;CERVATTO;1004;RIFUGIO ORO BALME;1122;Rifugio Alpino;14
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;HINDERBALMO;;Bivacco Fisso;0
VERBANO-CUSIO-OSSOLA;SAN BERNARDINO VERBANO;304;A. FANTOLI;1000;Rifugio Alpino;18
VERCELLI;ALAGNA VALSESIA;1191;CAPANNA LUIGI RAVELLI;2503;Bivacco Fisso;12
VERCELLI;ALAGNA VALSESIA;1191;REGINA MARGHERITA;4554;Rifugio Alpino;70
VERCELLI;RASSA;917;ALPE SALEI;1734;Rifugio Escursionistico;12
VERCELLI;RIMELLA;1176;ALPE HELO;1744;Rifugio Escursionistico;12
VERBANO-CUSIO-OSSOLA;TOCENO;907;EMILIO GREPPI;1915;Rifugio non gestito;6
VERCELLI;PIODE;752;ALPE MEGGIANA;1560;Rifugio Alpino;10
VERCELLI;VARALLO;450;TERRIERI CERVAROLO;1222;Rifugio Alpino;9
VERBANO-CUSIO-OSSOLA;MACUGNAGA;1327;LANTI;;Bivacco Fisso;0
VERCELLI;ALAGNA VALSESIA;1191;ANNA CRESPI CALDERINI;1836;Rifugio Alpino;4
VERCELLI;ALAGNA VALSESIA;1191;FRANCESCO PASTORE;1575;Rifugio Alpino;70
VERCELLI;RIVA VALDOBBIA;1112;ABATE CARESTIA AL CORNO BIANCO;2201;Rifugio Alpino;24
VERBANO-CUSIO-OSSOLA;PREMIA;800;ZUM GORA;1505;Rifugio Alpino;10
VERCELLI;FOBELLO;873;RIFUGIO ALPINO ALPE BARANCA;1600;Rifugio Alpino;20
VERBANO-CUSIO-OSSOLA;FORMAZZA;1280;CESARE MORES;2505;Rifugio Alpino;26
VERCELLI;ALAGNA VALSESIA;1191;BARBA FERRERO;2247;Rifugio Alpino;12
VERCELLI;BORGOSESIA;354;CA' MEA;1110;Rifugio Alpino;4
CUNEO;ACCEGLIO;1200;LA SCUOLA DI CHIAPPERA;1640;Rifugio Escursionistico;20
CUNEO;CANOSIO;1225;DELLA GARDETTA;2335;Rifugio Alpino;42
BIELLA;SALA BIELLESE;626;ANDIRIVIENI;625;Rifugio Escursionistico;24
BIELLA;POLLONE;630;DELFO E AGOSTINO CODA;2280;Rifugio Alpino;51
BIELLA;VALLE MOSSO;434;ALPE ISOLA' DI SOTTO;1531;Bivacco Fisso;9
BIELLA;GRAGLIA;596;ALPE PIANETTI;1320;Rifugio Escursionistico;10
BIELLA;PIEDICAVALLO;1050;PADRE MAURO ANTONIOTTI AL MONTE BO;2556;Bivacco Fisso;0
BIELLA;MUZZANO;565;BAITA BAGNERI;900;Rifugio non gestito;0
CUNEO;ACCEGLIO;1200;VIVIERE;1720;Rifugio Alpino;15
CUNEO;ACCEGLIO;1200;CAMPO BASE;1660;Rifugio Escursionistico;32
CUNEO;ARGENTERA;1684;BECCHI ROSSI;1910;Rifugio Alpino;20
BIELLA;COGGIOLA;460;MONTE BARONE;1587;Rifugio Alpino;18
CUNEO;ARGENTERA;1684;RIFUGIO DELLA PACE COMPAGNIA DEL BUON CAMMINO;2000;Rifugio Escursionistico;24
CUNEO;BRIGA ALTA;1310;CAPANNA MORGANTINI;2237;Rifugio non gestito;18
BIELLA;MOSSO;625;ALPE ARTIGNAGA;1375;Rifugio non gestito;0
BIELLA;PETTINENGO;664;ALPE PECCIA;;Bivacco Fisso;10
BIELLA;GRAGLIA;596;MOMBARONE;2312;Rifugio Alpino;25
CUNEO;CAPRAUNA;954;PIAN DELL'ARMA;1350;Rifugio Alpino;22
CUNEO;CRISSOLO;1318;QUINTINO SELLA AL MONVISO;;Rifugio Alpino;89
CUNEO;SAMPEYRE;976;MEIRA PAULA;1318;Rifugio Alpino;19
TORINO;BALME;1432;CITTA' DI CIRIE';1865;Rifugio Escursionistico;9
TORINO;OULX;1100;GUIDO REY;1765;Rifugio Alpino;20
TORINO;RONCO CANAVESE;956;DAVITO;2360;Bivacco Fisso;4
CUNEO;PIETRAPORZIO;1246;PRATI DEL VALLONE;1750;Rifugio Escursionistico;25
TORINO;CERESOLE REALE;1620;LEONESI;2909;Rifugio non gestito;12
TORINO;SALZA DI PINEROLO;1210;POSTO TAPPA G.T.A. SALZA;1210;Rifugio non gestito;5
CUNEO;ENTRACQUE;894;LOCANDA DEL SORRISO;1096;Rifugio Escursionistico;38
CUNEO;FRABOSA SOPRANA;891;LA BALMA;1883;Rifugio Alpino;16
CUNEO;PRAZZO;1030;CAPANNA FRANCO ELLENA;2020;Rifugio non gestito;10
CUNEO;RITTANA;750;PARALOUP;1360;Rifugio Escursionistico;12
CUNEO;ROCCABRUNA;700;RIGONI NICOLO';1252;Rifugio Escursionistico;10
TORINO;BUSSOLENO;440;CAPANNA SOCIALE AURELIO RAVETTO;2545;Rifugio Alpino;12
TORINO;CORIO;625;ALPE SOGLIA;1711;Rifugio Alpino;18
TORINO;LOCANA;613;POCCHIOLA-MENEGHELLO;2440;Rifugio non gestito;14
TORINO;NOASCA;1062;GIRAUDO;2630;Bivacco Fisso;6
TORINO;ROURE;860;LAUS;2274;Bivacco Fisso;4
TORINO;SAN GIORIO DI SUSA;420;GEAT VAL GRAVIO;1390;Rifugio Alpino;22
CUNEO;CASTELMAGNO;1141;SAN MAGNO;1760;Rifugio Escursionistico;56
CUNEO;DEMONTE;780;CARBONETTO;1874;Rifugio Escursionistico;10
CUNEO;VALDIERI;774;MORELLI - BUZZI;2351;Rifugio Alpino;39
TORINO;LOCANA;613;SANTA PULENTA;1363;Rifugio Escursionistico;12
TORINO;PRAGELATO;1524;MULINO DI LAVAL;1670;Rifugio Escursionistico;18
CUNEO;CASTELMAGNO;1141;LA VALLIERA;1509;Rifugio Escursionistico;20
CUNEO;ENTRACQUE;894;GENOVA - FIGARI;2015;Rifugio Alpino;50
CUNEO;VINADIO;910;DAHU DE SABARNUI;1700;Rifugio Alpino;24
TORINO;GROSCAVALLO;1110;FASSERO-SOARDI;2297;Bivacco Fisso;14
CUNEO;MACRA;875;LA RUA';875;Rifugio Escursionistico;24
CUNEO;ORMEA;736;QUARZINA;1350;Rifugio Escursionistico;10
CUNEO;STROPPO;1087;BORGATA SAN MARTINO;1380;Rifugio Escursionistico;15
TORINO;CASTELNUOVO NIGRA;828;FORNETTO;2130;Rifugio Escursionistico;20
TORINO;USSEGLIO;1265;CIBRARIO;2616;Rifugio Alpino;42
TORINO;CERESOLE REALE;1620;GUGLIELMO JERVIS;2250;Rifugio Alpino;25
TORINO;FROSSASCO;376;GIUSEPPE MELANO - CASA CANADA;1060;Rifugio Alpino;25
TORINO;USSEGLIO;1265;BIVACCO SAN CAMILLO;2750;Bivacco Fisso;10
CUNEO;ENTRACQUE;894;FEDERICI MARCHESINI (PAGARI');2650;Rifugio Alpino;24
CUNEO;PIETRAPORZIO;1246;RIF. A. TALARICO;1750;Rifugio non gestito;15
TORINO;BARDONECCHIA;1312;SCARFIOTTI;2165;Rifugio Alpino;24
CUNEO;GARESSIO;621;SAVONA;;Rifugio Alpino;19
CUNEO;SAMBUCO;1184;DON FRANCO MARTINI;2065;Rifugio non gestito;11
TORINO;BOBBIO PELLICE;732;BTG ALPINI MONTE GRANERO;2377;Rifugio Alpino;48
TORINO;PRAGELATO;1524;COLLE DEL BETH;2785;Rifugio non gestito;6
TORINO;USSEGLIO;1265;TAZZETTI;2642;Rifugio Alpino;32
CUNEO;ENTRACQUE;894;FORESTERIA SAN GIACOMO;1250;Rifugio Escursionistico;25
CUNEO;PIETRAPORZIO;1246;ERVEDO ZANOTTI;2220;Rifugio non gestito;25
CUNEO;VALDIERI;774;DANTE LIVIO BIANCO;1910;Rifugio Alpino;48
TORINO;BOBBIO PELLICE;732;BARBARA LOWRIE;1753;Rifugio Alpino;24
TORINO;BUSSOLENO;440;TOESCA;1710;Rifugio Alpino;25
TORINO;LOCANA;613;PONTESE;2200;Rifugio Alpino;96
CUNEO;SAMPEYRE;976;MEIRA GARNERI;1850;Rifugio Alpino;23
CUNEO;VALDIERI;774;REMONDINO FRANCO;2430;Rifugio Alpino;46
TORINO;CERESOLE REALE;1620;GUIDO MUZIO;1620;Rifugio Escursionistico;22
TORINO;MOMPANTERO;838;SANTA MARIA;3583;Bivacco Fisso;15
TORINO;USSEAUX;1416;IL LAGO DELLE RANE;1416;Rifugio Alpino;8
CUNEO;ENTRACQUE;894;SORIA - ELLENA;1880;Rifugio Alpino;50
CUNEO;OSTANA;1250;LA GALABERNA;1280;Rifugio Escursionistico;25
TORINO;CESANA TORINESE;1354;BAITA GIMONT;2050;Rifugio Alpino;23
TORINO;BALME;1432;GASTALDI;2659;Rifugio Alpino;53
TORINO;BOBBIO PELLICE;732;WILLY JERVIS;1732;Rifugio Alpino;95
TORINO;VIU';774;COLLE DEL LYS;1300;Rifugio Escursionistico;16
TORINO;CESANA TORINESE;1354;CAPANNA MAUTINO;2110;Rifugio Alpino;24
TORINO;GROSCAVALLO;1110;PAOLO DAVISO;2280;Rifugio Alpino;24
TORINO;PRAGELATO;1524;COL CLAPIS;2800;Rifugio non gestito;4
CUNEO;DRONERO;622;DETTO DALMASTRO;1300;Rifugio non gestito;25
CUNEO;VINADIO;910;AL MALINVERN;1836;Rifugio Alpino;46
TORINO;CERESOLE REALE;1620;MASSIMO MILA;1583;Rifugio Escursionistico;24
TORINO;PRAGELATO;1524;RIFUGIO TRONCEA;1915;Rifugio Alpino;40
TORINO;RONCO CANAVESE;956;REVELLI;2610;Bivacco Fisso;6
TORINO;ANGROGNA;782;RIFUGIO JUMARRE;1460;Rifugio Alpino;25
TORINO;GIAVENO;506;LA MADLENA;770;Rifugio Escursionistico;27
